District_ID,DISTRICT,State_ID
6817,KHASI HILLS EAST,25
6854,KHASI HILLS EAST,25
7000,GARO HILLS WEST,25
7025,RI-BHOI,25
7043,GARO HILLS WEST,25
7290,TOTAL,25
7324,GARO HILLS WEST,25
7388,KHASI HILLS WEST,25
7395,KHASI HILLS EAST,25
7397,KHASI HILLS WEST,25
7426,TOTAL,25
7443,JAINTIA HILLS,25
7619,GARO HILLS SOUTH,25
7670,KHASI HILLS WEST,25
7794,JAINTIA HILLS,25
7803,GARO HILLS SOUTH,25
7897,GARO HILLS WEST,25
7951,GARO HILLS WEST,25
7956,TOTAL,25
7998,GARO HILLS EAST,25
8121,RI-BHOI,25
8271,GARO HILLS SOUTH,25
8290,GARO HILLS SOUTH,25
8336,JAINTIA HILLS,25
8360,GARO HILLS WEST,25
8428,TOTAL,25
8468,JAINTIA HILLS,25
8524,TOTAL,25
8644,KHASI HILLS EAST,25
8880,TOTAL,25
9168,RI-BHOI,25
9213,GARO HILLS WEST,25
9379,KHASI HILLS WEST,25
9424,GARO HILLS WEST,25
9631,GARO HILLS SOUTH,25
9750,KHASI HILLS EAST,25
9797,KHASI HILLS WEST,25
9832,JAINTIA HILLS,25
25,NAYAGARH,28
58,NAYAGARH,28
71,TOTAL,28
72,JAJPUR,28
87,DEOGARH,28
101,BOLANGIR,28
145,RAYAGADA,28
153,BARAGARH,28
170,BHADRAK,28
171,BHADRAK,28
279,KALAHANDI,28
292,SUNDARGARH,28
349,KENDRAPARA,28
355,KORAPUT,28
358,SRP(CUTTACK),28
380,PURI,28
413,JHARSUGUDA,28
443,JHARSUGUDA,28
489,BARAGARH,28
562,JAGATSINGHPUR,28
614,SRP(CUTTACK),28
653,BALASORE,28
658,PURI,28
700,KHURDA,28
704,DCP CTC,28
731,DEOGARH,28
783,NAYAGARH,28
791,NOWRANGPUR,28
832,SONEPUR,28
876,JAGATSINGHPUR,28
906,GANJAM,28
954,KANDHAMAL,28
977,SAMBALPUR,28
978,PURI,28
999,JAJPUR,28
1064,SUNDARGARH,28
1072,KENDRAPARA,28
1078,SRP(CUTTACK),28
1081,BALASORE,28
1121,MALKANGIR,28
1194,KHURDA,28
1202,SUNDARGARH,28
1242,KALAHANDI,28
1266,BOLANGIR,28
1299,DCP BBSR,28
1300,TOTAL,28
1308,BHADRAK,28
1326,MAYURBHANJ,28
1362,KANDHAMAL,28
1389,DCP CTC,28
1402,KANDHAMAL,28
1484,BOLANGIR,28
1489,KENDRAPARA,28
1491,PURI,28
1505,JAJPUR,28
1539,BOUDH,28
1548,PURI,28
1556,MALKANGIR,28
1560,PURI,28
1561,JAJPUR,28
1563,BALASORE,28
1574,KANDHAMAL,28
1575,BOLANGIR,28
1611,KORAPUT,28
1632,MAYURBHANJ,28
1677,MALKANGIR,28
1695,GANJAM,28
1741,BOLANGIR,28
1774,SONEPUR,28
1818,MALKANGIR,28
1837,CUTTACK,28
1863,SUNDARGARH,28
1881,BOUDH,28
1925,KENDRAPARA,28
1950,SRP(CUTTACK),28
1990,NUAPADA,28
2015,BARAGARH,28
2020,MAYURBHANJ,28
2040,SRP(CUTTACK),28
2048,JAJPUR,28
2086,BHADRAK,28
2098,MAYURBHANJ,28
2106,GANJAM,28
2147,MAYURBHANJ,28
2173,SUNDARGARH,28
2190,MALKANGIR,28
2203,BERHAMPUR,28
2236,NUAPADA,28
2242,NAYAGARH,28
2267,CUTTACK,28
2271,RAYAGADA,28
2280,JHARSUGUDA,28
2283,JAGATSINGHPUR,28
2284,BERHAMPUR,28
2296,SUNDARGARH,28
2307,SAMBALPUR,28
2342,RAYAGADA,28
2348,KENDRAPARA,28
2378,PURI,28
2405,NOWRANGPUR,28
2419,TOTAL,28
2428,ANGUL,28
2493,KEONJHAR,28
2499,BOUDH,28
2511,GAJAPATI,28
2537,GAJAPATI,28
2560,SAMBALPUR,28
2599,MALKANGIR,28
2662,BARAGARH,28
2668,KALAHANDI,28
2670,NOWRANGPUR,28
2671,SONEPUR,28
2681,NAYAGARH,28
2687,GAJAPATI,28
2688,JAGATSINGHPUR,28
2692,DEOGARH,28
2747,MALKANGIR,28
2757,TOTAL,28
2765,KENDRAPARA,28
2791,DEOGARH,28
2811,DCP CTC,28
2835,NAYAGARH,28
2836,GAJAPATI,28
2845,JAJPUR,28
2848,ROURKELA,28
2856,BARAGARH,28
2860,BARAGARH,28
2874,KHURDA,28
2918,DHENKANAL,28
2927,KHURDA,28
2932,BARAGARH,28
2954,DHENKANAL,28
3008,GANJAM,28
3010,SONEPUR,28
3022,KORAPUT,28
3044,CUTTACK,28
3084,ROURKELA,28
3088,JAJPUR,28
3114,JAGATSINGHPUR,28
3120,JAGATSINGHPUR,28
3121,DHENKANAL,28
3149,BHADRAK,28
3152,DEOGARH,28
3153,KHURDA,28
3161,NAYAGARH,28
3194,DCP CTC,28
3211,KALAHANDI,28
3263,BALASORE,28
3291,SRP(ROURKELA),28
3301,CUTTACK,28
3312,KORAPUT,28
3377,RAYAGADA,28
3399,NAYAGARH,28
3401,BERHAMPUR,28
3413,BERHAMPUR,28
3472,BALASORE,28
3496,JAGATSINGHPUR,28
3530,ROURKELA,28
3542,CUTTACK,28
3587,KHURDA,28
3720,TOTAL,28
3742,JHARSUGUDA,28
3747,SRP(ROURKELA),28
3759,ROURKELA,28
3764,SRP(ROURKELA),28
3777,MAYURBHANJ,28
3800,NOWRANGPUR,28
3802,SRP(ROURKELA),28
3812,KENDRAPARA,28
3825,GAJAPATI,28
3838,KALAHANDI,28
3852,MAYURBHANJ,28
3864,SAMBALPUR,28
3900,BALASORE,28
3909,ANGUL,28
3911,TOTAL,28
3917,KANDHAMAL,28
3942,CUTTACK,28
3949,BOLANGIR,28
3957,MAYURBHANJ,28
3959,DCP BBSR,28
3971,NAYAGARH,28
3989,SRP(CUTTACK),28
4008,RAYAGADA,28
4009,DEOGARH,28
4011,NUAPADA,28
4055,BERHAMPUR,28
4064,GANJAM,28
4100,BHADRAK,28
4112,BOLANGIR,28
4130,SAMBALPUR,28
4152,BHADRAK,28
4155,MAYURBHANJ,28
4160,PURI,28
4193,ANGUL,28
4214,BARAGARH,28
4219,RAYAGADA,28
4225,SAMBALPUR,28
4233,ANGUL,28
4241,KHURDA,28
4264,KORAPUT,28
4266,KENDRAPARA,28
4267,SRP(ROURKELA),28
4302,ROURKELA,28
4312,TOTAL,28
4321,SRP(ROURKELA),28
4323,MAYURBHANJ,28
4348,KORAPUT,28
4377,KALAHANDI,28
4398,ANGUL,28
4400,SRP(CUTTACK),28
4446,SAMBALPUR,28
4452,KEONJHAR,28
4468,BHADRAK,28
4534,KHURDA,28
4552,SRP(ROURKELA),28
4614,DEOGARH,28
4641,KHURDA,28
4653,NOWRANGPUR,28
4664,ROURKELA,28
4721,ROURKELA,28
4754,GANJAM,28
4759,DHENKANAL,28
4784,MALKANGIR,28
4836,DHENKANAL,28
4850,SRP(CUTTACK),28
4901,KORAPUT,28
4912,JAGATSINGHPUR,28
4932,ROURKELA,28
4941,BALASORE,28
4969,NOWRANGPUR,28
4979,BOLANGIR,28
4993,BOLANGIR,28
5017,BALASORE,28
5025,DCP BBSR,28
5067,BHADRAK,28
5123,JAGATSINGHPUR,28
5131,RAYAGADA,28
5148,KEONJHAR,28
5167,KEONJHAR,28
5178,BERHAMPUR,28
5216,KANDHAMAL,28
5287,NUAPADA,28
5301,KORAPUT,28
5307,BARAGARH,28
5319,DHENKANAL,28
5327,KEONJHAR,28
5369,CUTTACK,28
5401,KANDHAMAL,28
5416,KHURDA,28
5443,NAYAGARH,28
5456,TOTAL,28
5462,JAJPUR,28
5502,KENDRAPARA,28
5529,KEONJHAR,28
5538,NUAPADA,28
5564,KORAPUT,28
5619,KANDHAMAL,28
5658,NUAPADA,28
5667,SAMBALPUR,28
5718,JHARSUGUDA,28
5773,RAYAGADA,28
5781,BOUDH,28
5782,KEONJHAR,28
5790,NAYAGARH,28
5801,BARAGARH,28
5806,KANDHAMAL,28
5809,SUNDARGARH,28
5825,CUTTACK,28
5831,SONEPUR,28
5867,BOLANGIR,28
5874,SONEPUR,28
5922,ROURKELA,28
5931,DHENKANAL,28
5952,SAMBALPUR,28
5956,GAJAPATI,28
5977,SUNDARGARH,28
5982,GAJAPATI,28
5989,BOUDH,28
6052,KEONJHAR,28
6074,NOWRANGPUR,28
6081,MALKANGIR,28
6085,SUNDARGARH,28
6141,BARAGARH,28
6157,JAJPUR,28
6159,DHENKANAL,28
6183,SUNDARGARH,28
6206,JHARSUGUDA,28
6221,DHENKANAL,28
6229,BOUDH,28
6257,SAMBALPUR,28
6258,MAYURBHANJ,28
6285,GANJAM,28
6318,ANGUL,28
6340,SAMBALPUR,28
6358,JHARSUGUDA,28
6393,GANJAM,28
6399,SRP(ROURKELA),28
6406,GAJAPATI,28
6410,JHARSUGUDA,28
6427,MAYURBHANJ,28
6434,SRP(CUTTACK),28
6441,KANDHAMAL,28
6479,KENDRAPARA,28
6481,DHENKANAL,28
6483,SONEPUR,28
6505,SRP(ROURKELA),28
6527,ROURKELA,28
6549,DEOGARH,28
6584,KORAPUT,28
6594,KALAHANDI,28
6622,JAJPUR,28
6623,JAGATSINGHPUR,28
6635,KHURDA,28
6641,MALKANGIR,28
6701,JHARSUGUDA,28
6705,PURI,28
6729,KHURDA,28
6759,ANGUL,28
6768,BERHAMPUR,28
6845,SONEPUR,28
6848,KEONJHAR,28
6876,KALAHANDI,28
6880,JHARSUGUDA,28
6887,ANGUL,28
6950,JAJPUR,28
6960,KALAHANDI,28
6962,BERHAMPUR,28
6968,CUTTACK,28
6985,ANGUL,28
6997,KENDRAPARA,28
7001,BOUDH,28
7009,DCP BBSR,28
7028,NUAPADA,28
7041,BERHAMPUR,28
7064,JAGATSINGHPUR,28
7107,SUNDARGARH,28
7134,BALASORE,28
7156,CUTTACK,28
7171,CUTTACK,28
7180,BERHAMPUR,28
7213,RAYAGADA,28
7242,SRP(CUTTACK),28
7252,TOTAL,28
7270,KORAPUT,28
7281,BALASORE,28
7320,ROURKELA,28
7321,NUAPADA,28
7325,PURI,28
7342,TOTAL,28
7374,BERHAMPUR,28
7387,KANDHAMAL,28
7429,ANGUL,28
7434,NOWRANGPUR,28
7489,DHENKANAL,28
7533,SUNDARGARH,28
7541,GANJAM,28
7544,NOWRANGPUR,28
7564,BHADRAK,28
7576,CUTTACK,28
7578,JHARSUGUDA,28
7655,BOUDH,28
7661,BOLANGIR,28
7676,KHURDA,28
7677,BOUDH,28
7693,DEOGARH,28
7698,JAJPUR,28
7699,ROURKELA,28
7721,KEONJHAR,28
7729,DCP CTC,28
7755,DHENKANAL,28
7776,ANGUL,28
7784,KANDHAMAL,28
7790,SRP(ROURKELA),28
7839,BOLANGIR,28
7878,BOLANGIR,28
7899,BALASORE,28
7912,DCP BBSR,28
7933,BALASORE,28
7948,NOWRANGPUR,28
7981,KEONJHAR,28
7990,MAYURBHANJ,28
8005,SONEPUR,28
8016,BOUDH,28
8023,SAMBALPUR,28
8045,BOUDH,28
8054,KEONJHAR,28
8055,TOTAL,28
8059,RAYAGADA,28
8093,SRP(CUTTACK),28
8096,BHADRAK,28
8097,GAJAPATI,28
8135,PURI,28
8152,SAMBALPUR,28
8193,SRP(CUTTACK),28
8241,GAJAPATI,28
8257,TOTAL,28
8258,PURI,28
8260,GANJAM,28
8266,BHADRAK,28
8339,SUNDARGARH,28
8343,BALASORE,28
8399,BERHAMPUR,28
8429,KENDRAPARA,28
8450,KANDHAMAL,28
8461,DCP BBSR,28
8477,NUAPADA,28
8483,JAGATSINGHPUR,28
8486,DEOGARH,28
8532,BOUDH,28
8565,SRP(ROURKELA),28
8611,BOUDH,28
8649,DCP CTC,28
8657,JHARSUGUDA,28
8659,NUAPADA,28
8697,KORAPUT,28
8703,KENDRAPARA,28
8754,DHENKANAL,28
8798,KORAPUT,28
8853,SRP(ROURKELA),28
8871,NAYAGARH,28
8881,SONEPUR,28
8904,GANJAM,28
8917,CUTTACK,28
8939,NUAPADA,28
9030,GANJAM,28
9086,NUAPADA,28
9104,JHARSUGUDA,28
9173,NOWRANGPUR,28
9180,RAYAGADA,28
9197,ANGUL,28
9206,SRP(ROURKELA),28
9211,RAYAGADA,28
9221,GANJAM,28
9225,MALKANGIR,28
9226,JAJPUR,28
9234,DEOGARH,28
9246,DEOGARH,28
9269,NOWRANGPUR,28
9282,GAJAPATI,28
9294,NAYAGARH,28
9333,KALAHANDI,28
9336,GAJAPATI,28
9381,GAJAPATI,28
9390,JAGATSINGHPUR,28
9397,ROURKELA,28
9435,SONEPUR,28
9451,KEONJHAR,28
9487,BARAGARH,28
9509,ANGUL,28
9533,BERHAMPUR,28
9540,BARAGARH,28
9560,SONEPUR,28
9573,MALKANGIR,28
9591,SRP(CUTTACK),28
9592,KALAHANDI,28
9600,NOWRANGPUR,28
9693,NUAPADA,28
9707,TOTAL,28
9714,PURI,28
9735,SONEPUR,28
9737,BHADRAK,28
9774,KALAHANDI,28
9785,RAYAGADA,28
9803,DEOGARH,28
9812,MALKANGIR,28
9820,KALAHANDI,28
79,KINNAUR,16
93,BADDIPOLICEDIST,16
102,KANGRA,16
126,KANGRA,16
150,G.R.P.,16
250,SHIMLA,16
252,SIRMAUR,16
305,MANDI,16
308,CHAMBA,16
330,HAMIRPUR,16
492,CHAMBA,16
531,LAHAUL-SPITI,16
549,TOTAL,16
624,KINNAUR,16
718,SIRMAUR,16
723,G.R.P.,16
747,G.R.P.,16
849,SOLAN,16
854,LAHAUL-SPITI,16
891,KINNAUR,16
921,KINNAUR,16
928,KULLU,16
932,KULLU,16
1051,G.R.P.,16
1168,KINNAUR,16
1460,SOLAN,16
1526,G.R.P.,16
1559,SOLAN,16
1576,CHAMBA,16
1652,MANDI,16
1686,MANDI,16
1913,TOTAL,16
1928,SHIMLA,16
1971,SOLAN,16
1988,TOTAL,16
2066,KULLU,16
2087,KANGRA,16
2125,BILASPUR,16
2202,SIRMAUR,16
2277,UNA,16
2330,G.R.P.,16
2437,TOTAL,16
2459,TOTAL,16
2474,KANGRA,16
2478,LAHAUL-SPITI,16
2480,BILASPUR,16
2495,SOLAN,16
2532,UNA,16
2552,TOTAL,16
2559,SHIMLA,16
2572,SOLAN,16
2612,SHIMLA,16
2635,G.R.P.,16
2759,KANGRA,16
2775,CHAMBA,16
2786,LAHAUL-SPITI,16
2798,SIRMAUR,16
2852,BILASPUR,16
2859,CHAMBA,16
2899,UNA,16
3006,SIRMAUR,16
3024,KANGRA,16
3079,BILASPUR,16
3087,SOLAN,16
3115,CHAMBA,16
3142,TOTAL,16
3207,SOLAN,16
3261,UNA,16
3294,HAMIRPUR,16
3314,HAMIRPUR,16
3385,HAMIRPUR,16
3396,MANDI,16
3447,UNA,16
3454,CHAMBA,16
3488,KANGRA,16
3525,KULLU,16
3533,SIRMAUR,16
3547,HAMIRPUR,16
3572,HAMIRPUR,16
3580,G.R.P.,16
3632,MANDI,16
3637,SOLAN,16
3642,SOLAN,16
3651,TOTAL,16
3716,BADDIPOLICEDIST,16
3826,KANGRA,16
3847,BILASPUR,16
3881,SIRMAUR,16
3908,KINNAUR,16
3996,MANDI,16
4106,KANGRA,16
4140,BILASPUR,16
4194,SHIMLA,16
4198,TOTAL,16
4311,BILASPUR,16
4341,BILASPUR,16
4388,MANDI,16
4408,MANDI,16
4495,CHAMBA,16
4571,SIRMAUR,16
4576,BILASPUR,16
4601,LAHAUL-SPITI,16
4625,KINNAUR,16
4771,HAMIRPUR,16
4843,BADDIPOLICEDIST,16
4883,MANDI,16
4890,SOLAN,16
4964,MANDI,16
5005,UNA,16
5164,KINNAUR,16
5263,UNA,16
5295,KANGRA,16
5364,KULLU,16
5367,KANGRA,16
5436,BILASPUR,16
5477,HAMIRPUR,16
5543,CID,16
5595,TOTAL,16
5685,G.R.P.,16
5725,SHIMLA,16
5756,SHIMLA,16
5842,CID,16
5889,LAHAUL-SPITI,16
6020,SIRMAUR,16
6035,CHAMBA,16
6082,BADDIPOLICEDIST,16
6091,G.R.P.,16
6098,CHAMBA,16
6188,KULLU,16
6216,KULLU,16
6222,G.R.P.,16
6270,SOLAN,16
6287,HAMIRPUR,16
6305,LAHAUL-SPITI,16
6418,SIRMAUR,16
6420,KULLU,16
6431,SHIMLA,16
6507,KINNAUR,16
6518,TOTAL,16
6534,KULLU,16
6544,TOTAL,16
6585,UNA,16
6648,KANGRA,16
6839,CHAMBA,16
6910,SIRMAUR,16
6938,SHIMLA,16
6984,HAMIRPUR,16
7091,CHAMBA,16
7147,LAHAUL-SPITI,16
7192,TOTAL,16
7208,CHAMBA,16
7266,CID,16
7293,KULLU,16
7390,UNA,16
7392,BILASPUR,16
7428,SHIMLA,16
7512,BILASPUR,16
7522,UNA,16
7530,BADDIPOLICEDIST,16
7617,HAMIRPUR,16
7732,UNA,16
7775,MANDI,16
7997,MANDI,16
8001,SIRMAUR,16
8143,KINNAUR,16
8249,UNA,16
8352,HAMIRPUR,16
8535,G.R.P.,16
8600,BILASPUR,16
8602,LAHAUL-SPITI,16
8605,SOLAN,16
8631,SHIMLA,16
8819,KULLU,16
8843,G.R.P.,16
8885,SIRMAUR,16
8959,SHIMLA,16
9011,KANGRA,16
9084,LAHAUL-SPITI,16
9118,UNA,16
9132,CID,16
9158,KINNAUR,16
9185,KINNAUR,16
9237,HAMIRPUR,16
9253,LAHAUL-SPITI,16
9270,MANDI,16
9422,KULLU,16
9478,KINNAUR,16
9504,CID,16
9521,KULLU,16
9626,LAHAUL-SPITI,16
9654,SHIMLA,16
9704,LAHAUL-SPITI,16
111,SERCHHIP,26
127,CHAMPHAI,26
223,MAMIT,26
238,MAMIT,26
249,LUNGLEI,26
317,TOTAL,26
542,SAIHA,26
571,CHAMPHAI,26
583,SAIHA,26
631,SERCHHIP,26
669,LUNGLEI,26
676,LAWNGTLAI,26
701,MAMIT,26
724,AIZAWL,26
934,KOLASIB,26
990,LAWNGTLAI,26
1315,LUNGLEI,26
1435,MAMIT,26
1442,KOLASIB,26
1486,SERCHHIP,26
1508,LAWNGTLAI,26
1573,SAIHA,26
1586,LAWNGTLAI,26
1634,LUNGLEI,26
1783,AIZAWL,26
1801,AIZAWL,26
1976,CHAMPHAI,26
2039,CHAMPHAI,26
2049,LAWNGTLAI,26
2077,SAIHA,26
2144,AIZAWL,26
2180,LUNGLEI,26
2477,KOLASIB,26
2666,SERCHHIP,26
2858,AIZAWL,26
2862,SERCHHIP,26
2895,LUNGLEI,26
2979,CHAMPHAI,26
2982,LAWNGTLAI,26
3004,LAWNGTLAI,26
3074,SAIHA,26
3076,SERCHHIP,26
3326,SERCHHIP,26
3448,TOTAL,26
3526,LUNGLEI,26
3605,MAMIT,26
3616,SAIHA,26
3681,LUNGLEI,26
3682,TOTAL,26
3714,AIZAWL,26
3796,KOLASIB,26
3850,LUNGLEI,26
3870,TRAFFIC PS,26
4104,LUNGLEI,26
4175,CHAMPHAI,26
4320,AIZAWL,26
4486,SPL NARCOTIC,26
4602,LAWNGTLAI,26
4697,KOLASIB,26
4736,SAIHA,26
4838,CHAMPHAI,26
4853,SERCHHIP,26
4957,SAIHA,26
5016,TOTAL,26
5322,SERCHHIP,26
5539,KOLASIB,26
5644,SERCHHIP,26
5656,AIZAWL,26
5789,LUNGLEI,26
5821,SAIHA,26
5899,AIZAWL,26
5944,TOTAL,26
6028,SAIHA,26
6036,KOLASIB,26
6039,TOTAL,26
6072,MAMIT,26
6190,CHAMPHAI,26
6250,LAWNGTLAI,26
6268,MAMIT,26
6320,CHAMPHAI,26
6342,CHAMPHAI,26
6392,SAIHA,26
6411,TOTAL,26
6480,LUNGLEI,26
6482,AIZAWL,26
6558,KOLASIB,26
6647,TOTAL,26
6716,LAWNGTLAI,26
6720,TOTAL,26
6870,SERCHHIP,26
6935,CHAMPHAI,26
6941,TOTAL,26
7154,TOTAL,26
7477,LAWNGTLAI,26
7511,MAMIT,26
7524,SAIHA,26
7611,MAMIT,26
7686,KOLASIB,26
7749,SAIHA,26
7772,MAMIT,26
7792,SERCHHIP,26
8094,SERCHHIP,26
8098,MAMIT,26
8169,MAMIT,26
8206,AIZAWL,26
8307,MAMIT,26
8418,LAWNGTLAI,26
8424,AIZAWL,26
8478,LUNGLEI,26
8720,KOLASIB,26
9157,KOLASIB,26
9276,LAWNGTLAI,26
9291,AIZAWL,26
9337,TOTAL,26
9359,TOTAL,26
9646,CHAMPHAI,26
9699,KOLASIB,26
9724,KOLASIB,26
9759,CHAMPHAI,26
2,VELLORE,33
35,VIRUDHUNAGAR,33
45,TRICHY URBAN,33
51,TRICHY RURAL,33
52,DINDIGUL,33
53,RAMNATHAPURAM,33
75,NILGIRIS,33
89,SIVAGANGAI,33
96,COIMBATORE URBAN,33
121,TOTAL,33
138,NAMAKKAL,33
175,TRICHY URBAN,33
202,TRICHY RLY.,33
215,SALEM RURAL,33
219,CHENNAI RLY.,33
311,TRICHY RLY.,33
316,THIRUNELVELI URBAN,33
332,TRICHY RLY.,33
351,SALEM RURAL,33
360,THIRUNELVELI RURAL,33
361,THOOTHUGUDI,33
395,TOTAL,33
402,NAGAPATTINAM,33
405,MADURAI RURAL,33
414,KANYAKUMARI,33
462,MADURAI RURAL,33
467,THIRUVANNAMALAI,33
500,VILLUPURAM,33
505,MADURAI RURAL,33
515,DHARMAPURI,33
529,VELLORE,33
558,MADURAI RURAL,33
565,ARIYALUR,33
590,PUDUKOTTAI,33
593,TOTAL,33
601,MADURAI URBAN,33
602,DHARMAPURI,33
605,DHARMAPURI,33
608,MADURAI URBAN,33
612,TOTAL,33
617,VELLORE,33
642,NAMAKKAL,33
660,KANYAKUMARI,33
680,THIRUVANNAMALAI,33
702,THENI,33
706,NAGAPATTINAM,33
748,ERODE,33
749,TRICHY URBAN,33
770,NAMAKKAL,33
845,MADURAI URBAN,33
861,TRICHY URBAN,33
893,ARIYALUR,33
943,DHARMAPURI,33
964,THIRUVALLUR,33
967,NAMAKKAL,33
975,CHENNAI RLY.,33
979,THANJAVUR,33
981,NILGIRIS,33
1034,NAGAPATTINAM,33
1088,TRICHY RURAL,33
1123,KRISHNAGIRI,33
1206,THOOTHUGUDI,33
1214,CHENNAI RLY.,33
1280,SIVAGANGAI,33
1377,THANJAVUR,33
1397,TRICHY RLY.,33
1410,VIRUDHUNAGAR,33
1419,MADURAI RURAL,33
1470,PERAMBALUR,33
1498,NILGIRIS,33
1515,TRICHY RURAL,33
1547,KANYAKUMARI,33
1568,NAMAKKAL,33
1578,NILGIRIS,33
1636,KANCHIPURAM,33
1651,CUDDALORE,33
1715,THIRUVARUR,33
1716,CUDDALORE,33
1723,CHENNAISUBURBAN,33
1738,SIVAGANGAI,33
1746,DHARMAPURI,33
1780,SALEM URBAN,33
1811,DINDIGUL,33
1830,CHENNAI,33
1831,CHENNAI,33
1840,THIRUNELVELI RURAL,33
1842,CHENNAI,33
1850,MADURAI RURAL,33
1945,KANYAKUMARI,33
1958,THIRUNELVELI RURAL,33
1962,KANYAKUMARI,33
1973,RAMNATHAPURAM,33
2031,SIVAGANGAI,33
2059,COIMBATORE RURAL,33
2074,KARUR,33
2113,SIVAGANGAI,33
2183,THANJAVUR,33
2318,THIRUNELVELI RURAL,33
2340,VILLUPURAM,33
2353,SALEM URBAN,33
2364,COIMBATORE RURAL,33
2385,CHENGAI,33
2404,TRICHY RLY.,33
2445,THIRUVALLUR,33
2446,NILGIRIS,33
2451,THENI,33
2460,CHENNAISUBURBAN,33
2467,KANYAKUMARI,33
2470,CHENNAISUBURBAN,33
2520,TIRUPPUR,33
2523,TIRUPPUR,33
2530,NAMAKKAL,33
2538,THIRUNELVELI URBAN,33
2553,TRICHY RURAL,33
2587,THIRUVANNAMALAI,33
2631,PUDUKOTTAI,33
2641,SALEM URBAN,33
2642,CHENNAI,33
2651,ERODE,33
2663,CUDDALORE,33
2664,RAMNATHAPURAM,33
2665,SIVAGANGAI,33
2676,TOTAL,33
2683,RAMNATHAPURAM,33
2710,COIMBATORE URBAN,33
2712,MADURAI RURAL,33
2714,TRICHY RURAL,33
2715,SALEM URBAN,33
2756,KANCHIPURAM,33
2789,RAMNATHAPURAM,33
2804,TIRUPPUR,33
2820,TRICHY URBAN,33
2854,TOTAL,33
2857,THOOTHUGUDI,33
2883,THOOTHUGUDI,33
2890,CHENNAI,33
2904,KANYAKUMARI,33
2912,PERAMBALUR,33
2928,TRICHY RURAL,33
2930,THOOTHUGUDI,33
2937,THIRUNELVELI RURAL,33
2939,SIVAGANGAI,33
2962,CUDDALORE,33
2964,SIVAGANGAI,33
2996,COIMBATORE URBAN,33
3007,NILGIRIS,33
3017,NAGAPATTINAM,33
3020,KRISHNAGIRI,33
3069,VILLUPURAM,33
3102,MADURAI URBAN,33
3103,COIMBATORE RURAL,33
3111,KANCHIPURAM,33
3119,DINDIGUL,33
3125,COIMBATORE RURAL,33
3148,KARUR,33
3189,KARUR,33
3247,KARUR,33
3253,THANJAVUR,33
3300,THIRUNELVELI URBAN,33
3335,CHENNAI,33
3368,TRICHY RLY.,33
3372,SALEM URBAN,33
3380,VILUPPURAM,33
3382,KANCHIPURAM,33
3383,THIRUNELVELI RURAL,33
3388,COIMBATORE URBAN,33
3407,VIRUDHUNAGAR,33
3416,CUDDALORE,33
3444,ERODE,33
3457,THANJAVUR,33
3478,NILGIRIS,33
3484,MADURAI URBAN,33
3528,TRICHY URBAN,33
3541,THIRUVANNAMALAI,33
3573,SALEM RURAL,33
3574,THIRUVANNAMALAI,33
3582,NILGIRIS,33
3624,TRICHY RLY.,33
3646,KANYAKUMARI,33
